inn_name,aware_category,atc_hint,source
gemifloxacin,Watch,J01MA15,WHO AWaRe 2023
imipenem/cilastatin,Watch,J01DH51,WHO AWaRe 2023
josamycin,Watch,J01FA07,WHO AWaRe 2023
levofloxacin,Watch,J01MA12,WHO AWaRe 2023
lomefloxacin,Watch,J01MA07,WHO AWaRe 2023
meropenem,Watch,J01DH02,WHO AWaRe 2023
midecamycin,Watch,J01FA03,WHO AWaRe 2023
moxifloxacin,Watch,J01MA14,WHO AWaRe 2023
norfloxacin,Watch,J01MA06,WHO AWaRe 2023
ofloxacin,Watch,J01MA01,WHO AWaRe 2023
pazufloxacin,Watch,J01MA18,WHO AWaRe 2023
pefloxacin,Watch,J01MA03,WHO AWaRe 2023
piperacillin/tazobactam,Watch,J01CR05,WHO AWaRe 2023
prulifloxacin,Watch,J01MA17,WHO AWaRe 2023
rifabutin,Watch,J04AB04,WHO AWaRe 2023
rifampicin,Watch,J04AB02,WHO AWaRe 2023
roxithromycin,Watch,J01FA06,WHO AWaRe 2023
rufloxacin,Watch,J01MA10,WHO AWaRe 2023
sparfloxacin,Watch,J01MA09,WHO AWaRe 2023
spiramycin,Watch,J01FA02,WHO AWaRe 2023
teicoplanin,Watch,J01XA02,WHO AWaRe 2023
telithromycin,Watch,J01FA15,WHO AWaRe 2023
temocillin,Watch,J01CA17,WHO AWaRe 2023
tosufloxacin,Watch,J01MA22,WHO AWaRe 2023
troleandomycin,Watch,J01FA08,WHO AWaRe 2023
vancomycin,Watch,J01XA01,WHO AWaRe 2023
aztreonam,Reserve,J01DF01,WHO AWaRe 2023
cefiderocol,Reserve,J01DI04,WHO AWaRe 2023
ceftaroline fosamil,Reserve,J01DI02,WHO AWaRe 2023
ceftazidime/avibactam,Reserve,J01DD52,WHO AWaRe 2023
ceftobiprole medocaril,Reserve,J01DI01,WHO AWaRe 2023
ceftolozane/tazobactam,Reserve,J01DI54,WHO AWaRe 2023
colistin,Reserve,J01XB01,WHO AWaRe 2023
dalbavancin,Reserve,J01XA04,WHO AWaRe 2023
daptomycin,Reserve,J01XX09,WHO AWaRe 2023
eravacycline,Reserve,J01AA13,WHO AWaRe 2023
faropenem,Reserve,J01DI03,WHO AWaRe 2023
fosfomycin intravenous,Reserve,J01XX01,WHO AWaRe 2023
imipenem/cilastatin/relebactam,Reserve,J01DH56,WHO AWaRe 2023
linezolid,Reserve,J01XX08,WHO AWaRe 2023
meropenem/vaborbactam,Reserve,J01DH52,WHO AWaRe 2023
minocycline intravenous,Reserve,J01AA08,WHO AWaRe 2023
omadacycline,Reserve,J01AA15,WHO AWaRe 2023
oritavancin,Reserve,J01XA05,WHO AWaRe 2023
plazomicin,Reserve,J01GB14,WHO AWaRe 2023
polymyxin b,Reserve,J01XB02,WHO AWaRe 2023
tedizolid,Reserve,J01XX11,WHO AWaRe 2023
telavancin,Reserve,J01XA03,WHO AWaRe 2023
tigecycline,Reserve,J01AA12,WHO AWaRe 2023
lefamulin,Reserve,J01XX12,WHO AWaRe 2023
sarecycline,Reserve,J01AA14,WHO AWaRe 2023
minocycline,Access,J01AA08,WHO AWaRe 2023
isoniazid,anti-TB,J04AC01,WHO EML antituberculosis
ethambutol,anti-TB,J04AK02,WHO EML antituberculosis
pyrazinamide,anti-TB,J04AK01,WHO EML antituberculosis
rifapentine,anti-TB,J04AB05,WHO EML antituberculosis
bedaquiline,anti-TB,J04AK05,WHO EML antituberculosis
delamanid,anti-TB,J04AK06,WHO EML antituberculosis
pretomanid,anti-TB,J04AK08,WHO EML antituberculosis
cycloserine,anti-TB,J04AB01,WHO EML antituberculosis
terizidone,anti-TB,J04AK03,WHO EML antituberculosis
ethionamide,anti-TB,J04AD03,WHO EML antituberculosis
prothionamide,anti-TB,J04AD01,WHO EML antituberculosis
para-aminosalicylic acid,anti-TB,J04AA01,WHO EML antituberculosis
aminosalicylic acid,anti-TB,J04AA01,WHO EML antituberculosis
capreomycin,anti-TB,J04AB30,WHO EML antituberculosis
clofazimine,anti-leprosy,J04BA01,WHO EML antileprosy
dapsone,anti-leprosy,J04BA02,WHO EML antileprosy
secnidazole,off-label antibacterial,P01AB07,nitroimidazole antibacterial (bacterial vaginosis)
tinidazole,off-label antibacterial,J01XD02,nitroimidazole antibacterial/antiprotozoal
ornidazole,off-label antibacterial,J01XD03,nitroimidazole antibacterial/antiprotozoal
nimorazole,off-label antibacterial,P01AB06,nitroimidazole antibacterial/antiprotozoal
nitazoxanide,off-label antibacterial,P01AX11,off-label antibacterial (C. difficile / H. pylori)
methenamine,urinary antibacterial,J01XX05,urinary tract antiseptic/antibacterial
nitroxoline,urinary antibacterial,J01XX07,urinary tract antibacterial
nifurtoinol,urinary antibacterial,J01XE02,nitrofuran urinary antibacterial
